continent,国家,country,area,smoke,fat,sport,hypertension,hyperglycemia,deaths,gdp,population,deathRate,smoke_m,smoke_f,fat_m,fat_f,sport_m,sport_f,hypertension_m,hypertension_f,hyperglycemia_m,hyperglycemia_f
0,阿尔巴尼亚,Albania,"27,400",Not available,22.3,No data,31.6,8.3,14930,3800,"3,195,900",0.706812479,0.91,0.09,0.49,0.51,No data,No data,0.55,0.45,0.51,0.49
0,安道尔,Andorra,470,Not available,28,42.9,24.5,9.1,,,"77,281",,0.58,0.42,0.5,0.5,0.48,0.52,0.57,0.43,0.55,0.45
0,奥地利,Austria,"82,523",33,21.9,32.5,27.4,6,33017,45816,"8,441,500",0.537508547,0.58,0.42,0.53,0.47,0.44,0.56,0.55,0.45,0.59,0.41
0,白俄罗斯,Belarus,"202,988",23,26.6,15.2,31.8,9.5,73656,5142,"9,499,300",0.775,0.86,0.14,0.45,0.55,0.47,0.53,0.55,0.45,0.47,0.53
0,比利时,Belgium,"30,280",18.9,24.5,38.6,23.5,6.4,30963,41051,"11,375,000",0.441691274,0.57,0.43,0.51,0.49,0.43,0.57,0.58,0.42,0.58,0.42
0,波黑,Bosnia and Herzegovina,"51,200",28.8,19.4,26,36.7,9.3,20279,,"3,516,816",0.642940934,0.61,0.39,0.47,0.53,0.44,0.56,0.52,0.48,0.51,0.49
0,保加利亚,Bulgaria,"108,560",28.9,27.4,41.2,36.3,10.3,67831,7404,"7,079,800",0.72628085,0.68,0.32,0.5,0.5,0.46,0.54,0.54,0.46,0.52,0.48
0,克罗地亚,Croatia,"55,960",36.3,27.1,33.4,41,9.9,23084,11856,"4,254,600",0.5609039,0.55,0.45,0.48,0.52,0.42,0.58,0.54,0.46,0.54,0.46
0,捷克,Czech,"77,220",22.2,28.5,33.2,34.1,9.6,47334,18286,"10,554,000",0.566487547,0.61,0.39,0.5,0.5,0.45,0.55,0.57,0.43,0.53,0.47
0,丹麦,Denmark,"41,990",17,21.3,30.8,27,6.1,12484,54308,"5,648,000",0.354306797,0.5,0.5,0.56,0.44,0.45,0.55,0.59,0.41,0.59,0.41
0,爱沙尼亚,Estonia,"43,470",26,23.8,34.2,34.3,9.3,7840,17743,"1,303,600",0.637605725,0.66,0.34,0.46,0.54,0.45,0.55,0.55,0.45,0.49,0.51
0,芬兰,Finland,"303,910",15.8,24.9,18.7,26.5,7.7,19060,43136,"5,491,500",0.565813691,0.59,0.41,0.52,0.48,0.51,0.49,0.56,0.44,0.56,0.44
0,法国,France,"547,557",32.3,23.2,32.3,28.5,8,143401,38076,"64,693,000",0.398066311,1,0,0.51,0.49,0.41,0.59,0.57,0.43,0.59,0.41
0,德国,Germany,"349,360",20.9,25.7,45.8,27.7,7.4,343531,42633,"81,313,000",0.518527184,0.59,0.41,0.52,0.48,0.48,0.52,0.55,0.45,0.57,0.43
0,希腊,Greece,"128,900",36.6,27.4,40.6,26,9.1,46098,17803,"10,911,000",0.513489429,0.68,0.32,0.48,0.52,0.45,0.55,0.54,0.46,0.52,0.48
0,匈牙利,Hungary,"90,530",18.5,28.6,40.6,36.7,10,61463,12792,"9,824,600",0.592134799,0.61,0.39,0.52,0.48,0.43,0.57,0.55,0.45,0.53,0.47
0,冰岛,Iceland,"100,250",11,23.1,No data,23.2,7.1,714,58991,"329,610",0.463335496,0.48,0.52,0.55,0.45,No data,No data,0.63,0.37,0.63,0.37
0,爱尔兰,Ireland,"68,890",Not available,26.9,34.3,22.8,7.3,8745,60636,"4,842,100",0.412091796,Not available,Not available,0.49,0.51,0.43,0.57,0.56,0.44,0.58,0.42
0,意大利,Italy,"294,140",Not available,22.9,44.8,29.7,8.5,229802,30919,"59,857,000",0.492340719,Not available,Not available,0.49,0.51,0.44,0.56,0.53,0.47,0.56,0.44
0,拉托维亚,Latvia,"64,589",Not available,25.7,32,36.4,9.4,15901,1394,"19,861,000",0.698791474,Not available,Not available,0.45,0.55,0.43,0.57,0.55,0.45,0.49,0.51
0,立陶宛,Lithuania,"62,642",20.5,28.4,29,34.5,9.7,23167,14467,"2,954,900",0.715936834,0.73,0.27,0.45,0.55,0.43,0.57,0.55,0.45,0.51,0.49
0,卢森堡,Luxembourg,"2,430",15,24.2,29.9,26.2,6.8,1190,107015,"555,700",0.443533358,Not available,Not available,0.54,0.46,0.46,0.54,0.6,0.4,0.61,0.39
0,马耳他,Malta,320,Not available,31,44.1,24.9,10.1,1336,2457,"4,258,000",0.508564903,0.62,0.38,0.5,0.5,0.43,0.57,0.58,0.42,0.56,0.44
0,摩尔多瓦,Moldova,"32,890",23.3,20.1,11.7,33.2,9.3,27384,1874,"3,549,400",0.760983743,0.9,0.1,0.42,0.58,0.51,0.49,0.53,0.47,0.45,0.55
0,摩纳哥,Monaco,2,Not available,No data,No data,No data,No data,,,"38,499",,Not available,Not available,No data,No data,No data,No data,No data,No data,No data,No data
0,黑山,Montenegro,"13,450",Not available,24.9,No data,34,8.7,3786,7020,"604,250",0.681793625,Not available,Not available,0.49,0.51,No data,No data,0.56,0.44,0.51,0.49
0,荷兰,Netherlands,"33,690",19,23.1,29.5,25,6.1,38132,45403,"16,985,000",0.383934595,0.5,0.5,0.49,0.51,0.47,0.53,0.57,0.43,0.57,0.43
0,北马其顿,North Macedonia,"25,220",Not available,23.9,No data,32.4,8.4,12234,,"2,080,745",0.677371131,Not available,Not available,0.5,0.5,No data,No data,0.55,0.45,0.51,0.49
0,挪威,Norway,"365,123",13,25,33.6,24.9,6.6,11616,72844,"5,085,500",0.433416664,0.52,0.48,0.5,0.5,0.47,0.53,0.58,0.42,0.59,0.41
0,波兰,Poland,"306,190",22,25.6,34.3,34.2,9.5,181988,12105,"38,627,000",0.576847857,0.6,0.4,0.5,0.5,0.48,0.52,0.56,0.44,0.51,0.49
0,葡萄牙,Portugal,"91,606",Not available,23.2,46.3,31.7,9.2,31045,19868,"10,306,000",0.436718387,Not available,Not available,0.48,0.52,0.44,0.56,0.55,0.45,0.58,0.42
0,罗马尼亚,Romania,"230,080",24.3,24.5,37.6,35.4,8.4,145284,9667,"19,348,000",0.693158776,0.71,0.29,0.51,0.49,0.45,0.55,0.54,0.46,0.5,0.5
0,俄罗斯,Russia,"16,376,870",Not available,25.7,18,31.7,9.3,1022790,8748,"146,405,000",0.717728229,0.77,0.23,0.39,0.61,0.46,0.54,0.54,0.46,0.44,0.56
0,圣马力诺,San Marino,60,Not available,No data,No data,No data,No data,,47771,"32,572",,Not available,Not available,No data,No data,No data,No data,No data,No data,No data,No data
0,塞尔维亚,Serbia,"87,460",29.2,23.5,41.2,35,8.6,57465,5324,"7,090,000",0.641615399,0.56,0.44,0.48,0.52,0.44,0.56,0.54,0.46,0.51,0.49
0,斯洛伐克,Slovakia,"48,080",Not available,22.4,36.2,33,8.6,20548,16478,"5,432,900",0.547961279,Not available,Not available,0.5,0.5,0.44,0.56,0.56,0.44,0.53,0.47
0,斯洛文尼亚,Slovenia,"20,142",Not available,22.5,34.7,38.2,9.5,7988,21534,"2,043,700",0.520865936,Not available,Not available,0.48,0.52,0.43,0.57,0.55,0.45,0.48,0.52
0,西班牙,Spain,"499,564",24,27.1,29.6,25.2,9.4,118199,26769,"46,046,000",0.419930153,0.58,0.42,0.5,0.5,0.43,0.57,0.56,0.44,0.56,0.44
0,瑞典,Sweden,"407,310",11,22.1,25.2,25.9,6.9,31646,51852,"9,862,700",0.507896257,0.5,0.5,0.55,0.45,0.46,0.54,0.57,0.43,0.57,0.43
0,瑞士,Switzerland,"39,516",17.6,21.2,26,23.5,5.6,21325,81824,"8,064,300",0.479008962,0.6,0.4,0.56,0.44,0.45,0.55,0.57,0.43,0.61,0.39
0,乌克兰,Ukraine,"579,290",Not available,26.1,20.7,32.4,9.1,402391,2192,"42,539,000",0.781218876,0.8,0.2,0.45,0.55,0.46,0.54,0.53,0.47,0.46,0.54
0,英国,United Kingdom,"241,930",Not available,29.5,38.4,20.3,7.7,150442,40366,"65,133,000",0.400955201,Not available,Not available,0.48,0.52,0.44,0.56,0.54,0.46,0.55,0.45
1,阿富汗,Afghanistan,"652,860",Not available,4.5,No data,23,8.4,51244,549,"33,533,000",0.603012474,Not available,Not available,0.3,0.7,No data,No data,0.51,0.49,0.48,0.52
1,亚美尼亚,Armenia,"28,470",23,20.9,23.3,27.4,12.3,12288,3613,"2,976,600",0.546376167,0.96,0.04,0.41,0.59,0.51,0.49,0.51,0.49,0.45,0.55
1,阿塞拜疆,Azerbaijan,"82,670",Not available,19.9,No data,23,11.6,32390,3796,"9,894,100",0.705480049,Not available,Not available,0.4,0.6,No data,No data,0.52,0.48,0.45,0.55
